,number,opened_by
0,INC0000045,8
1,INC0000045,8
2,INC0000045,8
3,INC0000045,8
4,INC0000047,397
5,INC0000047,397
6,INC0000047,397
7,INC0000047,397
8,INC0000047,397
9,INC0000047,397
10,INC0000047,397
11,INC0000047,397
12,INC0000047,397
13,INC0000057,8
14,INC0000057,8
15,INC0000057,8
16,INC0000057,8
17,INC0000057,8
18,INC0000057,8
19,INC0000057,8
20,INC0000060,180
21,INC0000060,180
22,INC0000060,180
23,INC0000060,180
24,INC0000062,180
25,INC0000062,180
26,INC0000062,180
27,INC0000062,180
28,INC0000062,180
29,INC0000062,180
30,INC0000062,180
31,INC0000062,180
32,INC0000063,180
33,INC0000063,180
34,INC0000063,180
35,INC0000063,180
36,INC0000063,180
37,INC0000063,180
38,INC0000063,180
39,INC0000063,180
40,INC0000064,131
41,INC0000064,131
42,INC0000064,131
43,INC0000064,131
44,INC0000064,131
45,INC0000064,131
46,INC0000064,131
47,INC0000064,131
48,INC0000064,131
49,INC0000065,131
50,INC0000065,131
51,INC0000065,131
52,INC0000065,131
53,INC0000065,131
54,INC0000065,131
55,INC0000065,131
56,INC0000065,131
57,INC0000065,131
58,INC0000065,131
59,INC0000065,131
60,INC0000065,131
61,INC0000065,131
62,INC0000066,24
63,INC0000066,24
64,INC0000066,24
65,INC0000066,24
66,INC0000067,180
67,INC0000067,180
68,INC0000067,180
69,INC0000067,180
70,INC0000067,180
71,INC0000067,180
72,INC0000067,180
73,INC0000067,180
74,INC0000067,180
75,INC0000067,180
76,INC0000067,180
77,INC0000070,131
78,INC0000070,131
79,INC0000070,131
80,INC0000070,131
81,INC0000070,131
82,INC0000070,131
83,INC0000070,131
84,INC0000070,131
85,INC0000071,180
86,INC0000071,180
87,INC0000071,180
88,INC0000071,180
89,INC0000071,180
90,INC0000071,180
91,INC0000071,180
92,INC0000071,180
93,INC0000073,40
94,INC0000073,40
95,INC0000073,40
96,INC0000073,40
97,INC0000073,40
98,INC0000073,40
99,INC0000074,433
100,INC0000074,433
101,INC0000074,433
102,INC0000074,433
103,INC0000074,433
104,INC0000074,433
105,INC0000076,180
106,INC0000076,180
107,INC0000076,180
108,INC0000077,180
109,INC0000077,180
110,INC0000077,180
111,INC0000077,180
112,INC0000077,180
113,INC0000077,180
114,INC0000079,180
115,INC0000079,180
116,INC0000079,180
117,INC0000079,180
118,INC0000079,180
119,INC0000080,24
120,INC0000080,24
121,INC0000080,24
122,INC0000080,24
123,INC0000080,24
124,INC0000080,24
125,INC0000080,24
126,INC0000080,24
127,INC0000083,131
128,INC0000083,131
129,INC0000083,131
130,INC0000083,131
131,INC0000083,131
132,INC0000084,433
133,INC0000084,433
134,INC0000084,433
135,INC0000084,433
136,INC0000084,433
137,INC0000084,433
138,INC0000085,180
139,INC0000085,180
140,INC0000085,180
141,INC0000085,180
142,INC0000086,24
143,INC0000086,24
144,INC0000086,24
145,INC0000086,24
146,INC0000086,24
147,INC0000086,24
148,INC0000086,24
149,INC0000086,24
150,INC0000086,24
151,INC0000087,180
152,INC0000087,180
153,INC0000087,180
154,INC0000087,180
155,INC0000088,180
156,INC0000088,180
157,INC0000088,180
158,INC0000089,180
159,INC0000089,180
160,INC0000089,180
161,INC0000089,180
162,INC0000089,180
163,INC0000089,180
164,INC0000089,180
165,INC0000089,180
166,INC0000089,180
167,INC0000089,180
168,INC0000092,40
169,INC0000092,40
170,INC0000092,40
171,INC0000092,40
172,INC0000092,40
173,INC0000093,131
174,INC0000093,131
175,INC0000094,433
176,INC0000094,433
177,INC0000094,433
178,INC0000094,433
179,INC0000094,433
180,INC0000098,24
181,INC0000098,24
182,INC0000098,24
183,INC0000098,24
184,INC0000098,24
185,INC0000098,24
186,INC0000099,180
187,INC0000099,180
188,INC0000099,180
189,INC0000099,180
190,INC0000100,40
191,INC0000100,40
192,INC0000100,40
193,INC0000100,40
194,INC0000101,180
195,INC0000101,180
196,INC0000101,180
197,INC0000101,180
198,INC0000101,180
199,INC0000101,180
200,INC0000101,180
201,INC0000102,131
202,INC0000102,131
203,INC0000102,131
204,INC0000102,131
205,INC0000102,131
206,INC0000102,131
207,INC0000102,131
208,INC0000102,131
209,INC0000102,131
210,INC0000102,131
211,INC0000102,131
212,INC0000102,131
213,INC0000102,131
214,INC0000102,131
215,INC0000102,131
216,INC0000102,131
217,INC0000102,131
218,INC0000102,131
219,INC0000102,131
220,INC0000103,180
221,INC0000103,180
222,INC0000103,180
223,INC0000103,180
224,INC0000104,180
225,INC0000104,180
226,INC0000104,180
227,INC0000104,180
228,INC0000104,180
229,INC0000104,180
230,INC0000104,180
231,INC0000105,180
232,INC0000105,180
233,INC0000105,180
234,INC0000105,180
235,INC0000105,180
236,INC0000105,180
237,INC0000105,180
238,INC0000105,180
239,INC0000110,40
240,INC0000110,40
241,INC0000110,40
242,INC0000110,40
243,INC0000111,180
244,INC0000111,180
245,INC0000111,180
246,INC0000111,180
247,INC0000112,131
248,INC0000112,131
249,INC0000112,131
250,INC0000112,131
251,INC0000112,131
252,INC0000112,131
253,INC0000113,24
254,INC0000113,24
255,INC0000113,24
256,INC0000113,24
257,INC0000113,24
258,INC0000114,180
259,INC0000114,180
260,INC0000114,180
261,INC0000114,180
262,INC0000114,180
263,INC0000114,180
264,INC0000114,180
265,INC0000114,180
266,INC0000114,180
267,INC0000115,131
268,INC0000115,131
269,INC0000115,131
270,INC0000115,131
271,INC0000115,131
272,INC0000115,131
273,INC0000116,180
274,INC0000116,180
275,INC0000116,180
276,INC0000116,180
277,INC0000119,180
278,INC0000119,180
279,INC0000119,180
280,INC0000119,180
281,INC0000121,40
282,INC0000121,40
283,INC0000121,40
284,INC0000122,24
285,INC0000122,24
286,INC0000122,24
287,INC0000122,24
288,INC0000122,24
289,INC0000123,180
290,INC0000123,180
291,INC0000123,180
292,INC0000123,180
293,INC0000124,40
294,INC0000124,40
295,INC0000124,40
296,INC0000124,40
297,INC0000125,131
298,INC0000125,131
299,INC0000125,131
300,INC0000125,131
301,INC0000125,131
302,INC0000125,131
303,INC0000125,131
304,INC0000126,180
305,INC0000126,180
306,INC0000126,180
307,INC0000126,180
308,INC0000128,131
309,INC0000128,131
310,INC0000128,131
311,INC0000128,131
312,INC0000128,131
313,INC0000128,131
314,INC0000128,131
315,INC0000129,180
316,INC0000129,180
317,INC0000129,180
318,INC0000129,180
319,INC0000129,180
320,INC0000129,180
321,INC0000129,180
322,INC0000129,180
323,INC0000129,180
324,INC0000129,180
325,INC0000129,180
326,INC0000129,180
327,INC0000129,180
328,INC0000130,62
329,INC0000130,62
330,INC0000130,62
331,INC0000130,62
332,INC0000130,62
333,INC0000130,62
334,INC0000131,433
335,INC0000131,433
336,INC0000131,433
337,INC0000131,433
338,INC0000132,131
339,INC0000132,131
340,INC0000132,131
341,INC0000132,131
342,INC0000132,131
343,INC0000132,131
344,INC0000134,501
345,INC0000134,501
346,INC0000134,501
347,INC0000134,501
348,INC0000134,501
349,INC0000135,40
350,INC0000135,40
351,INC0000135,40
352,INC0000135,40
353,INC0000135,40
354,INC0000135,40
355,INC0000135,40
356,INC0000135,40
357,INC0000137,24
358,INC0000137,24
359,INC0000137,24
360,INC0000137,24
361,INC0000139,131
362,INC0000139,131
363,INC0000139,131
364,INC0000139,131
365,INC0000139,131
366,INC0000139,131
367,INC0000140,180
368,INC0000140,180
369,INC0000140,180
370,INC0000140,180
371,INC0000140,180
372,INC0000140,180
373,INC0000140,180
374,INC0000141,40
375,INC0000141,40
376,INC0000141,40
377,INC0000141,40
378,INC0000146,24
379,INC0000146,24
380,INC0000146,24
381,INC0000146,24
382,INC0000147,40
383,INC0000147,40
384,INC0000147,40
385,INC0000147,40
386,INC0000147,40
387,INC0000147,40
388,INC0000147,40
389,INC0000148,501
390,INC0000148,501
391,INC0000148,501
392,INC0000148,501
393,INC0000149,62
394,INC0000149,62
395,INC0000149,62
396,INC0000149,62
397,INC0000152,180
398,INC0000152,180
399,INC0000152,180
400,INC0000152,180
401,INC0000152,180
402,INC0000153,24
403,INC0000153,24
404,INC0000153,24
405,INC0000153,24
406,INC0000155,180
407,INC0000155,180
408,INC0000155,180
409,INC0000155,180
410,INC0000156,501
411,INC0000156,501
412,INC0000156,501
413,INC0000156,501
414,INC0000158,301
415,INC0000158,301
416,INC0000158,301
417,INC0000159,180
418,INC0000159,180
419,INC0000159,180
420,INC0000159,180
421,INC0000159,180
422,INC0000159,180
423,INC0000160,40
424,INC0000160,40
425,INC0000161,180
426,INC0000161,180
427,INC0000161,180
428,INC0000161,180
429,INC0000161,180
430,INC0000161,180
431,INC0000161,180
432,INC0000161,180
433,INC0000161,180
434,INC0000161,180
435,INC0000161,180
436,INC0000164,131
437,INC0000164,131
438,INC0000164,131
439,INC0000164,131
440,INC0000164,131
441,INC0000164,131
442,INC0000164,131
443,INC0000166,501
444,INC0000166,501
445,INC0000166,501
446,INC0000166,501
447,INC0000167,24
448,INC0000167,24
449,INC0000167,24
450,INC0000167,24
451,INC0000168,131
452,INC0000168,131
453,INC0000168,131
454,INC0000169,62
455,INC0000169,62
456,INC0000169,62
457,INC0000171,180
458,INC0000171,180
459,INC0000171,180
460,INC0000171,180
461,INC0000171,180
462,INC0000171,180
463,INC0000171,180
464,INC0000171,180
465,INC0000171,180
466,INC0000171,180
467,INC0000171,180
468,INC0000171,180
469,INC0000171,180
470,INC0000171,180
471,INC0000172,180
472,INC0000172,180
473,INC0000172,180
474,INC0000172,180
475,INC0000172,180
476,INC0000172,180
477,INC0000172,180
478,INC0000172,180
479,INC0000172,180
480,INC0000172,180
481,INC0000173,4
482,INC0000173,4
483,INC0000173,4
484,INC0000173,4
485,INC0000173,4
486,INC0000173,4
487,INC0000173,4
488,INC0000173,4
489,INC0000174,131
490,INC0000174,131
491,INC0000174,131
492,INC0000174,131
493,INC0000174,131
494,INC0000174,131
495,INC0000174,131
496,INC0000176,501
497,INC0000176,501
498,INC0000176,501
499,INC0000178,180
500,INC0000178,180
501,INC0000178,180
502,INC0000178,180
503,INC0000179,40
504,INC0000179,40
505,INC0000179,40
506,INC0000192,131
507,INC0000192,131
508,INC0000192,131
509,INC0000193,62
510,INC0000193,62
511,INC0000193,62
512,INC0000193,62
513,INC0000193,62
514,INC0000193,62
515,INC0000194,180
516,INC0000194,180
517,INC0000194,180
518,INC0000195,40
519,INC0000195,40
520,INC0000195,40
521,INC0000195,40
522,INC0000197,131
523,INC0000197,131
524,INC0000197,131
525,INC0000197,131
526,INC0000197,131
