,number,assignment_group,assigned_to
0,INC0000045,56,1
1,INC0000045,56,1
2,INC0000045,56,1
3,INC0000045,56,1
4,INC0000047,70,89
5,INC0000047,24,31
6,INC0000047,24,31
7,INC0000047,24,31
8,INC0000047,24,31
9,INC0000047,24,31
10,INC0000047,24,89
11,INC0000047,24,89
12,INC0000047,24,89
13,INC0000057,70,1
14,INC0000057,70,1
15,INC0000057,70,1
16,INC0000057,70,1
17,INC0000057,70,1
18,INC0000057,70,6
19,INC0000057,70,6
20,INC0000060,25,125
21,INC0000060,25,125
22,INC0000060,25,125
23,INC0000060,25,125
24,INC0000062,70,1
25,INC0000062,70,1
26,INC0000062,23,1
27,INC0000062,23,1
28,INC0000062,23,1
29,INC0000062,23,1
30,INC0000062,23,1
31,INC0000062,23,1
32,INC0000063,70,1
33,INC0000063,70,1
34,INC0000063,70,1
35,INC0000063,70,1
36,INC0000063,23,1
37,INC0000063,23,1
38,INC0000063,23,1
39,INC0000063,23,1
40,INC0000064,70,78
41,INC0000064,70,78
42,INC0000064,70,186
43,INC0000064,28,1
44,INC0000064,28,78
45,INC0000064,28,78
46,INC0000064,28,78
47,INC0000064,28,78
48,INC0000064,28,78
49,INC0000065,5,216
50,INC0000065,5,216
51,INC0000065,5,216
52,INC0000065,70,216
53,INC0000065,15,216
54,INC0000065,15,216
55,INC0000065,70,216
56,INC0000065,12,216
57,INC0000065,15,216
58,INC0000065,33,216
59,INC0000065,33,216
60,INC0000065,33,216
61,INC0000065,33,216
62,INC0000066,70,1
63,INC0000066,54,1
64,INC0000066,54,1
65,INC0000066,54,1
66,INC0000067,70,236
67,INC0000067,70,236
68,INC0000067,70,236
69,INC0000067,70,17
70,INC0000067,70,17
71,INC0000067,28,1
72,INC0000067,28,1
73,INC0000067,28,1
74,INC0000067,28,236
75,INC0000067,28,236
76,INC0000067,28,236
77,INC0000070,70,31
78,INC0000070,70,31
79,INC0000070,70,186
80,INC0000070,70,186
81,INC0000070,29,1
82,INC0000070,29,1
83,INC0000070,29,31
84,INC0000070,29,31
85,INC0000071,24,249
86,INC0000071,24,249
87,INC0000071,24,249
88,INC0000071,24,249
89,INC0000071,24,249
90,INC0000071,24,249
91,INC0000071,24,249
92,INC0000071,24,249
93,INC0000073,70,1
94,INC0000073,70,1
95,INC0000073,54,1
96,INC0000073,54,1
97,INC0000073,54,1
98,INC0000073,54,1
99,INC0000074,66,193
100,INC0000074,66,193
101,INC0000074,66,193
102,INC0000074,66,193
103,INC0000074,66,193
104,INC0000074,66,193
105,INC0000076,23,1
106,INC0000076,23,1
107,INC0000076,23,1
108,INC0000077,70,1
109,INC0000077,70,1
110,INC0000077,70,1
111,INC0000077,70,1
112,INC0000077,70,1
113,INC0000077,70,1
114,INC0000079,70,1
115,INC0000079,65,1
116,INC0000079,65,180
117,INC0000079,65,180
118,INC0000079,65,180
119,INC0000080,70,1
120,INC0000080,70,1
121,INC0000080,70,1
122,INC0000080,70,1
123,INC0000080,70,1
124,INC0000080,70,1
125,INC0000080,70,1
126,INC0000080,70,1
127,INC0000083,70,1
128,INC0000083,23,1
129,INC0000083,23,1
130,INC0000083,23,1
131,INC0000083,23,1
132,INC0000084,66,175
133,INC0000084,66,175
134,INC0000084,66,175
135,INC0000084,66,175
136,INC0000084,66,175
137,INC0000084,66,175
138,INC0000085,54,1
139,INC0000085,54,1
140,INC0000085,54,1
141,INC0000085,54,1
142,INC0000086,70,1
143,INC0000086,70,1
